	Regulatory	Promoter	Heterochromatin	Active	Polycomb	Transcription	Core	CTCF
TRS	0	0	NA	0	NA	3	NA	0
HET	0	0	3	0	0	0	0	0
SCR	0	0	NA	0	3	0	0	0
PAR	NA	3	NA	3	NA	NA	0	0
PARC	NA	3	NA	3	NA	NA	3	0
PPR	NA	3	NA	2	NA	NA	0	0
PPRC	NA	3	NA	2	NA	NA	3	0
EAR	3	0	NA	3	NA	NA	0	0
EARC	3	0	NA	3	NA	NA	3	0
EPR	3	0	NA	2	NA	NA	0	0
EPRC	3	0	NA	2	NA	NA	3	0
ER	3	0	NA	0	NA	NA	0	0
ERC	3	0	NA	0	NA	NA	3	0
PR	NA	3	NA	0	NA	NA	0	0
PRC	NA	3	NA	0	NA	NA	3	0
CTCF	NA	NA	NA	NA	NA	NA	0	3
CTCFC	NA	NA	NA	NA	NA	NA	3	3
RPS	0	0	NA	0	NA	NA	3	0
AR	0	0	NA	3	NA	NA	0	0
ARC	0	0	NA	3	NA	NA	3	0
